epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.48192,3.14978,5.70905,2.07283,0.00134,0.26667,0.00269,0.00092,2.55314,4.54652,1.94882,0,0,0
2,2.71409,3.5029,5.16732,2.30954,0.00134,0.26667,0.00295,0.00114,2.53629,4.5079,1.96333,1.63399e-05,1.63399e-05,1.63399e-05
3,3.93466,3.482,5.20045,1.88816,0.00134,0.26667,0.00389,0.00149,2.52083,4.45533,1.97574,3.20197e-05,3.20197e-05,3.20197e-05
4,5.08888,2.74042,6.86899,1.67575,0.00134,0.26667,0.0045,0.00201,2.43682,4.37968,1.93324,4.70394e-05,4.70394e-05,4.70394e-05
5,6.2418,2.70956,5.85153,1.50857,0.00135,0.26667,0.01051,0.00539,2.11628,4.48301,1.76832,6.13989e-05,6.13989e-05,6.13989e-05
6,7.40991,2.65512,5.24328,1.55185,0.00135,0.26667,0.01701,0.01036,2.06019,4.41982,1.73561,7.50984e-05,7.50984e-05,7.50984e-05
7,8.57732,2.33379,4.38894,1.58542,0.00195,0.43333,0.03396,0.02038,1.94313,4.35633,1.69722,8.81376e-05,8.81376e-05,8.81376e-05
8,9.7669,2.35512,4.35716,1.64137,0.00194,0.43333,0.03403,0.02046,1.89138,4.40134,1.70721,0.000100517,0.000100517,0.000100517
9,10.8891,1.78485,4.38271,1.36423,0.00194,0.43333,0.03403,0.02086,1.9736,4.39414,1.69426,0.000112236,0.000112236,0.000112236
10,11.9544,1.82315,4.41387,1.4163,0.00194,0.43333,0.05034,0.03537,1.94903,4.41299,1.72876,0.000123295,0.000123295,0.000123295
11,13.0358,2.41409,4.03295,1.5529,0.00195,0.43333,0.09915,0.05004,1.88897,4.3877,1.6895,0.000133693,0.000133693,0.000133693
12,14.1515,1.39374,4.02605,1.28634,0.00195,0.43333,0.09916,0.04667,1.92616,4.35858,1.69422,0.000143432,0.000143432,0.000143432
13,15.2681,2.35827,3.85044,1.48274,0.00195,0.43333,0.09915,0.05187,1.86319,4.34443,1.65228,0.00015251,0.00015251,0.00015251
14,16.3385,2.26106,4.02778,1.44245,0.00195,0.43333,0.05092,0.03057,1.82069,4.2874,1.6228,0.000160929,0.000160929,0.000160929
15,17.4062,1.65297,2.87144,1.20929,0.0025,0.6,0.06466,0.03205,1.83713,4.25368,1.61979,0.000168687,0.000168687,0.000168687
16,18.4957,1.60833,2.89544,1.37521,0.00331,0.7,0.06509,0.03889,1.758,4.22952,1.60047,0.000175785,0.000175785,0.000175785
17,19.7286,1.74013,3.31192,1.04235,0.0033,0.7,0.03252,0.01727,1.80434,4.24148,1.57033,0.000182223,0.000182223,0.000182223
18,20.7897,1.7613,2.98343,1.15191,0.0033,0.7,0.03252,0.01727,1.80434,4.24148,1.57033,0.000188001,0.000188001,0.000188001
19,21.8802,1.56518,3.2753,1.16904,0.0033,0.7,0.03118,0.02054,1.76448,4.1755,1.54135,0.000193119,0.000193119,0.000193119
20,23.005,1.72279,2.14129,1.13505,0.0033,0.7,0.03118,0.02054,1.76448,4.1755,1.54135,0.000197576,0.000197576,0.000197576
21,24.134,1.60893,2.16033,1.28909,0.0033,0.7,0.03831,0.02454,1.75732,4.14594,1.534,0.000201374,0.000201374,0.000201374
22,25.2723,1.83884,2.40465,1.1856,0.0033,0.7,0.03831,0.02454,1.75732,4.14594,1.534,0.000204511,0.000204511,0.000204511
23,26.3851,1.93933,2.29651,1.16481,0.00402,0.8,0.0555,0.03515,1.80568,4.23693,1.57477,0.000206988,0.000206988,0.000206988
24,27.4638,1.74263,2.51717,1.08681,0.00402,0.8,0.0555,0.03515,1.80568,4.23693,1.57477,0.000208805,0.000208805,0.000208805
25,28.5833,1.47548,2.21873,1.13187,0.00267,0.53333,0.04064,0.02342,1.84267,4.32492,1.60227,0.000209962,0.000209962,0.000209962
26,29.63,1.77113,2.4039,1.24586,0.00267,0.53333,0.04064,0.02342,1.84267,4.32492,1.60227,0.000210459,0.000210459,0.000210459
27,30.7588,1.52456,2.34298,1.21768,0.00331,0.7,0.03954,0.02298,1.84014,4.35548,1.62536,0.000210295,0.000210295,0.000210295
28,31.8086,1.46393,2.10935,1.10859,0.00331,0.7,0.03954,0.02298,1.84014,4.35548,1.62536,0.000209472,0.000209472,0.000209472
29,32.8766,1.88629,3.0259,1.15683,0.00267,0.53333,0.03896,0.02243,1.81587,4.38339,1.61629,0.000207988,0.000207988,0.000207988
30,34.0231,1.90947,2.78152,1.12479,0.00267,0.53333,0.03896,0.02243,1.81587,4.38339,1.61629,0.000205844,0.000205844,0.000205844
31,35.1589,1.67263,2.57321,1.17317,0.00268,0.53333,0.05435,0.02146,1.86376,4.39917,1.59762,0.000203041,0.000203041,0.000203041
32,36.2269,1.3962,2.01948,1.15274,0.00268,0.53333,0.05435,0.02146,1.86376,4.39917,1.59762,0.000199577,0.000199577,0.000199577
33,37.2983,1.60164,2.5255,1.16978,0.00267,0.53333,0.06242,0.02514,1.78279,4.41034,1.56249,0.000195452,0.000195452,0.000195452
34,38.3677,1.44776,1.89704,1.13671,0.00267,0.53333,0.06242,0.02514,1.78279,4.41034,1.56249,0.000190668,0.000190668,0.000190668
35,39.4708,1.48889,2.43894,1.11641,0.00333,0.63333,0.02982,0.00959,1.68267,4.28142,1.51771,0.000185224,0.000185224,0.000185224
36,40.5001,1.7164,2.44366,1.24245,0.00333,0.63333,0.02982,0.00959,1.68267,4.28142,1.51771,0.000179119,0.000179119,0.000179119
37,41.5943,1.41922,2.19303,0.98516,0.00133,0.26667,0.01401,0.0053,1.52133,4.23906,1.48403,0.000172354,0.000172354,0.000172354
38,42.6807,1.37299,2.17853,1.04066,0.00133,0.26667,0.01401,0.0053,1.52133,4.23906,1.48403,0.00016493,0.00016493,0.00016493
39,43.757,1.67781,2.24618,1.21256,0.00266,0.46667,0.02212,0.00729,1.66622,4.28052,1.50739,0.000156845,0.000156845,0.000156845
40,44.8244,1.12919,1.78742,1.02368,0.00266,0.46667,0.02212,0.00729,1.66622,4.28052,1.50739,0.0001481,0.0001481,0.0001481
41,45.8562,1.4918,2.16002,1.30118,0.00333,0.63333,0.01862,0.00599,1.80646,4.21959,1.53418,0.000138694,0.000138694,0.000138694
42,46.932,1.23347,2.46192,1.20622,0.00333,0.63333,0.01862,0.00599,1.80646,4.21959,1.53418,0.000128629,0.000128629,0.000128629
43,48.0176,1.22268,2.12553,1.20917,0.00263,0.46667,0.01794,0.00637,1.82596,4.23358,1.58994,0.000117904,0.000117904,0.000117904
44,49.119,1.2816,2.09045,1.24948,0.00263,0.46667,0.01794,0.00637,1.82596,4.23358,1.58994,0.000106518,0.000106518,0.000106518
45,50.2628,1.47753,3.00364,1.02748,0.00262,0.46667,0.02851,0.00936,1.85997,4.18751,1.5951,9.44722e-05,9.44722e-05,9.44722e-05
46,51.3129,1.25554,2.26051,1.07714,0.00262,0.46667,0.02851,0.00936,1.85997,4.18751,1.5951,8.17663e-05,8.17663e-05,8.17663e-05
47,52.3602,1.0324,1.98399,1.1145,0.00262,0.46667,0.0816,0.01674,1.90468,4.1259,1.63949,6.84003e-05,6.84003e-05,6.84003e-05
48,53.3785,1.30707,2.2743,1.02752,0.00262,0.46667,0.0816,0.01674,1.90468,4.1259,1.63949,5.43742e-05,5.43742e-05,5.43742e-05
49,54.5101,1.23883,2.04279,1.03135,0.00261,0.46667,0.08159,0.02763,1.9321,4.06242,1.68049,3.96879e-05,3.96879e-05,3.96879e-05
50,55.5713,1.10573,2.11181,1.08669,0.00261,0.46667,0.08159,0.02763,1.9321,4.06242,1.68049,2.43415e-05,2.43415e-05,2.43415e-05
