epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.21836,0.9852,1.51726,1.27385,0.63046,0.36667,0.42941,0.29358,2.38364,3.72616,2.09934,0.0707692,0.00324786,0.00324786
2,16.7075,0.92454,1.1356,1.10998,0.64505,0.36667,0.40986,0.27999,2.35992,3.47659,2.10218,0.0407618,0.00657379,0.00657379
3,24.8469,0.82761,0.96252,1.07297,0.64505,0.36667,0.40986,0.27999,2.35992,3.47659,2.10218,0.0107469,0.00989222,0.00989222
4,33.0574,1.06191,1.44697,1.26553,0.63795,0.36667,0.37477,0.26581,2.48618,4.38144,2.38965,0.00996625,0.00996625,0.00996625
5,41.0995,1.11194,1.34807,1.38427,0.63795,0.36667,0.37477,0.26581,2.48618,4.38144,2.38965,0.009955,0.009955,0.009955
6,49.6061,0.81596,1.0206,1.01577,0.609,0.36667,0.37242,0.23925,2.81995,4.26248,2.47059,0.00994375,0.00994375,0.00994375
7,57.3475,1.1673,1.35926,1.29224,0.65944,0.36667,0.3707,0.2899,2.81639,4.16794,2.40557,0.0099325,0.0099325,0.0099325
8,65.3012,1.05304,1.33383,1.2613,0.65944,0.36667,0.3707,0.2899,2.81639,4.16794,2.40557,0.00992125,0.00992125,0.00992125
9,73.2917,1.09842,1.2733,1.27082,0.58691,0.36667,0.37127,0.29451,2.17239,4.32131,2.01261,0.00991,0.00991,0.00991
10,81.05,0.96576,1.15005,1.22097,0.58691,0.36667,0.37127,0.29451,2.17239,4.32131,2.01261,0.00989875,0.00989875,0.00989875
11,89.0781,1.25955,1.35504,1.46295,0.59437,0.36667,0.37126,0.20274,2.26369,4.68064,2.12631,0.0098875,0.0098875,0.0098875
12,97.1272,1.04791,1.307,1.24965,0.62118,0.36667,0.38238,0.29619,2.26068,3.81497,2.03187,0.00987625,0.00987625,0.00987625
13,105.486,1.0182,1.30659,1.24505,0.62118,0.36667,0.38238,0.29619,2.26068,3.81497,2.03187,0.009865,0.009865,0.009865
14,113.698,1.07897,1.26331,1.27383,0.70251,0.36667,0.38332,0.2567,2.42129,4.20702,2.24795,0.00985375,0.00985375,0.00985375
15,121.671,1.14532,1.34967,1.29493,0.70251,0.36667,0.38332,0.2567,2.42129,4.20702,2.24795,0.0098425,0.0098425,0.0098425
16,129.503,0.93407,1.0642,1.17616,0.59154,0.36667,0.38701,0.17001,2.76377,4.14241,2.51765,0.00983125,0.00983125,0.00983125
17,137.399,0.97433,1.09286,1.15733,0.56928,0.36667,0.38866,0.24865,2.44023,3.67408,2.20596,0.00982,0.00982,0.00982
18,145.292,1.12583,1.2993,1.29289,0.56928,0.36667,0.38866,0.24865,2.44023,3.67408,2.20596,0.00980875,0.00980875,0.00980875
19,153.151,1.18215,1.37944,1.40622,0.62026,0.36667,0.37833,0.25821,2.20003,4.61523,2.03745,0.0097975,0.0097975,0.0097975
20,161.152,0.8043,1.2517,1.10834,0.53251,0.36667,0.31259,0.19468,2.46092,4.5923,2.19993,0.00978625,0.00978625,0.00978625
21,169.128,1.26423,1.47817,1.37605,0.53251,0.36667,0.31259,0.19468,2.46092,4.5923,2.19993,0.009775,0.009775,0.009775
22,177.107,1.13498,1.23592,1.33938,0.51364,0.36667,0.38329,0.22092,2.3259,5.04042,2.11115,0.00976375,0.00976375,0.00976375
23,185.028,1.21147,1.38304,1.38093,0.51364,0.36667,0.38329,0.22092,2.3259,5.04042,2.11115,0.0097525,0.0097525,0.0097525
24,192.768,0.94292,1.08275,1.09385,0.50039,0.36667,0.32431,0.18817,2.64385,6.34864,2.29398,0.00974125,0.00974125,0.00974125
