epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.565,1.78946,3.67933,1.97492,0.00118,0.1,0.04923,0.00502,3.5868,5.20773,3.20534,0.099,0.001,0.001
2,23.8954,2.31216,3.7955,2.30687,0.0011,0.1,0.00098,0.00034,4.42178,5.8258,10.467,0.0974969,0.00249691,0.00249691
3,34.5272,2.92423,3.74658,3.03013,0.00086,0.16667,0.00162,0.00016,4.58868,5.28825,27.353,0.0959901,0.0039901,0.0039901
4,45.2109,3.52953,4.02783,3.28911,0.00276,0.1,0.00175,0.00088,4.40551,171149,66039.2,0.0944796,0.00547958,0.00547958
5,55.8403,3.51747,4.09625,3.30156,0.0045,0.1,0.00589,0.00349,1.66345,6.91418e+11,1.79021e+12,0.0929654,0.00696535,0.00696535
6,66.5906,3.6001,3.87058,3.02329,0,0,0,0,0,2.70409e+07,0,0.0914474,0.00844741,0.00844741
7,77.4656,3.23492,3.94047,3.05971,0,0,0,0,0,2.70567e+08,0,0.0899258,0.00992575,0.00992575
8,88.4654,3.52062,3.93406,3.58649,0,0,0,0,0,4.02163e+09,0,0.0884004,0.0114004,0.0114004
9,101.059,3.23411,3.7675,2.94166,0,0,0,0,0.17225,2.00817e+16,2.24084e+15,0.0868713,0.0128713,0.0128713
10,112.272,3.37597,3.75104,2.96139,0,0,0,0,0.17225,3.9077e+17,4.24027e+15,0.0853385,0.0143385,0.0143385
11,122.959,3.32796,3.89537,3.01014,0,0,0,0,0,2.25129e+16,0,0.083802,0.015802,0.015802
12,133.822,3.4306,3.79153,3.2088,0,0,0,0,5.58513,1.23439e+14,4.62808e+12,0.0822618,0.0172618,0.0172618
13,144.149,3.36318,3.86393,3.31671,0,0,0,0,3.93845,2.22257e+13,1.0786e+13,0.0807179,0.0187178,0.0187178
14,154.188,3.22573,3.67945,3.13387,0,0,0,0,3.82973,3.45985e+13,1.90806e+13,0.0791702,0.0201702,0.0201702
15,164.743,3.16053,3.66511,3.13577,0,0,0,0,3.36365,6.5508e+12,7.3064e+12,0.0776189,0.0216189,0.0216189
16,174.822,3.55709,3.81579,3.23195,0.00194,0.1,0.002,0.00056,3.10877,2.07088e+12,9.46252e+11,0.0760638,0.0230638,0.0230638
17,184.747,3.32028,3.8921,3.14761,0.00133,0.1,0.00135,0.00027,3.59878,1.48259e+11,9.71263e+10,0.074505,0.024505,0.024505
18,194.713,3.49401,3.83955,3.29338,0.00084,0.1,0.00085,0.00058,3.26312,3.25418e+10,1.7994e+09,0.0729425,0.0259425,0.0259425
