epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.38427,3.14978,5.70905,2.07283,0.00134,0.26667,0.00269,0.00092,2.55314,4.54652,1.94882,0,0,0
2,2.5699,3.5029,5.16732,2.30954,0.00134,0.26667,0.00296,0.00114,2.5359,4.5078,1.96355,1.66535e-05,1.66535e-05,1.66535e-05
3,3.69026,3.48117,5.19849,1.88799,0.00134,0.26667,0.00399,0.00171,2.52282,4.45472,1.97829,3.3274e-05,3.3274e-05,3.3274e-05
4,4.77793,2.73165,6.85886,1.67714,0.00134,0.26667,0.00465,0.00208,2.41009,4.37855,1.91672,4.98615e-05,4.98615e-05,4.98615e-05
5,5.86757,2.66318,5.7979,1.47692,0.00135,0.26667,0.01159,0.00593,2.11618,4.46395,1.76528,6.64159e-05,6.64159e-05,6.64159e-05
6,7.00851,2.60887,5.20919,1.52673,0.00135,0.26667,0.02026,0.01225,2.05572,4.40338,1.72766,8.29374e-05,8.29374e-05,8.29374e-05
7,8.10327,2.28682,4.3559,1.57428,0.00195,0.43333,0.03397,0.02039,1.95702,4.37765,1.72042,9.94259e-05,9.94259e-05,9.94259e-05
8,9.22836,2.36396,4.34993,1.63423,0.00195,0.43333,0.05025,0.03504,1.90437,4.45449,1.72106,0.000115881,0.000115881,0.000115881
9,10.2971,1.79394,4.28032,1.35076,0.00194,0.43333,0.09901,0.06942,1.87466,4.49444,1.68246,0.000132304,0.000132304,0.000132304
10,11.3456,1.72121,4.36685,1.39189,0.00194,0.43333,0.09904,0.03536,1.97438,4.49932,1.70707,0.000148693,0.000148693,0.000148693
11,12.4052,2.41615,3.92777,1.54559,0.00194,0.43333,0.11949,0.0464,1.89599,4.44739,1.66914,0.00016505,0.00016505,0.00016505
12,13.5002,1.47784,3.9393,1.29542,0.00194,0.43333,0.14043,0.06667,1.76855,4.34103,1.64073,0.000181373,0.000181373,0.000181373
13,14.5801,2.2873,3.62376,1.4419,0.00194,0.43333,0.14042,0.06106,1.80142,4.25436,1.62669,0.000197664,0.000197664,0.000197664
14,15.6292,2.27866,3.59373,1.32983,0.00194,0.43333,0.08125,0.04079,1.77583,4.23822,1.62764,0.000213921,0.000213921,0.000213921
15,16.6779,1.63687,2.56973,1.20123,0.00194,0.43333,0.0626,0.03702,1.83444,4.18667,1.60948,0.000230145,0.000230145,0.000230145
16,17.7388,1.60912,2.60813,1.38936,0.00255,0.6,0.03744,0.02191,1.9086,4.21976,1.61236,0.000246337,0.000246337,0.000246337
17,18.8518,1.85696,2.9727,0.9968,0.00257,0.6,0.03121,0.02084,2.07251,4.3286,1.65261,0.000262495,0.000262495,0.000262495
18,19.9191,1.79947,2.65757,1.10818,0.00257,0.6,0.03121,0.02084,2.07251,4.3286,1.65261,0.000278621,0.000278621,0.000278621
19,21.0092,1.83875,3.14455,1.14719,0.00268,0.53333,0.04443,0.03038,2.08907,4.34709,1.70224,0.000294713,0.000294713,0.000294713
20,22.0766,1.65445,1.95602,1.08509,0.00268,0.53333,0.04443,0.03038,2.08907,4.34709,1.70224,0.000310772,0.000310772,0.000310772
